id;contenu_id;brutetype_id;Nature données brutes;accessible_id;qualite;adventices;format_id;application_id
1;3;variables quantitatives;Nbre de tessons par unité de surface;Non essentielles pour la thèse;;;;SMA module démographique
2;3;Plans;Données cadastrales ?;A récupérer;;;;SMA module agricole
3;4;données SIG;Localisation sites arriere pays ;A récupérer;;;;SMA module agricole
4;5;variables quantitatives;Nbre de tessons par unité de surface;Non essentielles pour la thèse;;;;SMA module démographique
5;6;variables quantitatives;Nbre de tessons par unité de surface;Non essentielles pour la thèse;;;;SMA module démographique
6;7;variables quantitatives;Nbre de tessons par unité de surface;Non essentielles pour la thèse;;;;SMA module démographique
7;8;variables quantitatives;Nombre de pierres polies ou taillées;A récupérer;;;;SMA module agricole
8;9;variables quantitatives;Nombre de tesson par site identifié;Non essentielles pour la thèse;;;;SMA module démographique
9;10;variables quantitatives;Pièces d'outils en pierre taillée;A récupérer;;;;SMA module agricole
10;11;variables quantitatives;Nbre de sites sur le territoire (158) et évolution en relation avec la céramique;A récupérer;;;;SMA module agricole
11;1;données SIG;Localisation des sites datés par la céramique  sur le territoire de Malia;A récupérer;;;;SMA module agricole
12;2;données SIG;Cartographie des unités phytoécologiques;A récupérer;;;;SMA module agricole
13;12;variables quantitatives;40 échantillons archéobotaniques dans la Maison Pi, 26 aux abords nord-est du palais, 200 échantillons quartier Nu, assemblage dans une canalisation quartier Mu;A récupérer;Intérêt de consulter le détail des assemblages du quartier Nu et de la canalisation pour identifier les adventices;1;;Estimation des rendements
14;14;variables quantitatives;Grains d'amidon identifiés par lieu et par récipient;Disponibles en matériel supplémentaire;Elevée;;Textes (csv, xml, etc.);Estimation des rendements
15;20;variables quantitatives;197 échantillons de restes archéobotaniques avec pour certains présence d'adventices, tableaux par période, carte localisation assemblages;Disponibles au sein de l'article;76 échantillons collectés en 1971 sans stratégie de collecte et le reste avec stratégie de collecte > 2005;1;Codés (pdf);Estimation des rendements
16;15;variables quantitatives;Données archéobotaniques collectées à la villa Zominthos avec présence d'adventices;Disponibles au sein de l'article;Stratégie de collecte systématique. 152 échantillons archéobotaniques;1;Codés (pdf);Estimation des rendements
17;16;variables quantitatives;Non disponibles dans l'article, le tableau est difficile à comprendre;A récupérer;;;;SMA module démographique
18;17;variables quantitatives;Rendements historiques, capacités de stockage palatiales et domestiques ;A récupérer;;;;SMA module démographique
19;18;variables quantitatives;Données sur besoins alimentaires, taille population, capacité pithoi et capacité silos à Phaistos et Malia;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
20;19;variables quantitatives;Capacités de stockage, données rendements historiques et esitmations de surfaces agricoles;Disponibles au sein de l'article;Bonne ?;;Codés (pdf);SMA module démographique
21;21;variables quantitatives;Données polliniques, macrorestes végétaux et charbons;A récupérer;;;;Estimation des rendements
22;22;variables quanti et quali; Données descriptives milieu physique;Disponibles au sein de l'article;;;Textes (csv, xml, etc.);SMA module environnement général
23;23;variables quantitatives;Données polliniques, macrorestes végétaux et charbons;A récupérer;;;;Estimation des rendements
24;24;Plans;Référence dans l'article aux données polliniques et de macrorestes végétaux des carottages de 1993 et 2015;A récupérer;;;;Estimation des rendements
25;25;variables quantitatives;Données sédimentaires, ostracodes et foraminifères, datations;Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
26;26;variables quanti et quali;Données SIG, datations, données archeologiques;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
27;27;variables quantitatives;Esimation des capacités de stockage à Haghia Triada, rappel données stockage Phaistos;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
28;28;variables qualitatives;Plan des structures et des magasins;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
29;29;variables quantitatives;Nombre, espèces et dimensionnement des restes carpologiques (blé, orge, légumineuses et figues), pas de poids des grains de blé, pas d'adventices;Disponibles au sein de l'article;Echantillons provenant de vases (et non de structures de stockage ou dépôt d'ordures);0;Codés (pdf);SMA module agricole
30;30;variables quantitatives;Assemblage constitué de noyaux d'olive et quelques fruits à coques ;Disponibles au sein de l'article;23 échantillons;0;Codés (pdf);SMA module agricole
31;31;variables quantitatives;Dimensions et volumes des kouloures de Cnossos, Phaistos et Malia;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
32;32;variables quantitatives;985 échantillons de sol prélevés entre 2007 et 2011. Données non publiées ? contacter Alexandra Livarda;A récupérer;Stratégie de collecte systématique au sein de chaque unité de fouilles;;;Estimation des rendements
33;33;variables quantitatives;Tableau des MNI de restes archéobotaniques (y compris adventices) et des charbons collectés sur toute la durée du PALAP project. pas de dimensions ou poids des céréales/légumineuses;Disponibles au sein de l'article;Stratégie de collecte systématique au sein de chaque unité de fouilles. pas de mention de la localisation de l'échantillon dans le tableau des restes végétaux;1;Codés (pdf);Estimation des rendements
34;34;variables qualitatives;Diagramme des données polliniques de la carotte 7 de Kouremenos ;Disponibles au sein de l'article;Données robustes;;Codés (pdf);Estimation des rendements
35;35;variables quantitatives;Diagramme des données polliniques des carottes 2,3,9 (avec dates radiocarbone);A récupérer;Données robustes;;;Estimation des rendements
36;36;variables quantitatives;Diagramme simplifiée des données polliniques + dates radiocarbones;A récupérer;Données robustes;;;Estimation des rendements
37;36;variables quantitatives;Tableau des diatomées collectées dans les carottes;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
38;38;Plans;Carte zone prospectée et de restitutions des occupations;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
39;39;Plans;Cartes des occupations archéologiques de la période protogéométrique à la période hellénistique;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
40;37;variables quantitatives;Nombre de tessons par unité de surface prospectée;Non essentielles pour la thèse;;;Codés (pdf);SMA module démographique
41;37;données SIG;Données SIG du modèle numérique de terrain et modèle numérique d'élevation à partir de la base cartographique NASA SRTM de l'ancien lit de rivère du Yeropotamos et d'anciennes divisions cadatrales de la zone datant de la période vénitienne, ottomane et romaine (Catasto A);A récupérer;;;;SMA module agricole
42;40;Plans;Plan du palais, plan du site topographique, carte des sites de la Messara occidentale d'après Watrous, 2004;Disponibles au sein de l'article;;;Codés (pdf);SMA module démographique
43;41;données SIG;Unités géologiques de la plaine de la Messara;A récupérer;;;Codés (pdf);SMA module environnement général
44;42;données SIG;Unités géomorpho-stratigraphiques de la plaine de la Messara;A récupérer;;;Codés (pdf);SMA module environnement général
45;43;données SIG;Caractères géomorphologiques géoréférencés de la zone environnant Phaistos (dont l'extension du possible lac minoen);A récupérer;;;Codés (pdf);SMA module environnement général
46;44;données SIG;Image du quadrillage géoréférencé de la colline de Christos Effendi avec terrasses en bleu et section du mur de fortication hellenistique en rouge (?);Non essentielles pour la thèse;;;Codés (pdf);SMA module démographique
47;45;variables quantitatives;Tableau de comptage des diatomées;Disponibles au sein de l'article;;;Codés (pdf);Estimation des rendements
48;45;Photos;Photo de la coupe stratigraphique;Disponibles au sein de l'article;;;Codés (pdf);SMA module environnement général
49;46;données SIG;Carte de localisation des occupations archéologiques dans la plaine de la Messara;Non essentielles pour la thèse;;;Codés (pdf);SMA module démographique
